epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.7468,1.62586,2.59757,1.63105,0.62698,0.33242,0.32425,0.16548,1.83433,2.27437,1.8387,0.000407197,0.000407197,0.000407197
2,78.6937,1.5291,1.47395,1.49269,0.42357,0.39116,0.38647,0.1897,1.80167,2.30087,1.94594,0.000807551,0.000807551,0.000807551
3,105.492,1.56025,1.46235,1.52193,0.33117,0.33845,0.33821,0.16998,1.96757,3.56475,2.38418,0.00119141,0.00119141,0.00119141
4,134.304,1.52708,1.4136,1.51991,0.52823,0.41772,0.36035,0.17981,1.85556,5.25151,1.998,0.00117575,0.00117575,0.00117575
5,165.591,1.53266,1.36958,1.50791,0.37492,0.47352,0.37305,0.17058,1.84719,2.29661,1.85527,0.001151,0.001151,0.001151
6,193.512,1.46472,1.23833,1.45309,0.44206,0.53217,0.49003,0.24234,1.72489,1.97181,1.76054,0.00112625,0.00112625,0.00112625
7,219.678,1.46949,1.26291,1.4492,0.66531,0.65958,0.70295,0.35351,1.66129,1.3606,1.68974,0.0011015,0.0011015,0.0011015
8,245.732,1.43623,1.22144,1.42543,0.62636,0.66437,0.68786,0.34131,1.6308,1.54434,1.61051,0.00107675,0.00107675,0.00107675
9,272.221,1.42109,1.16356,1.42708,0.73963,0.65599,0.69794,0.35462,1.66938,1.33129,1.67412,0.001052,0.001052,0.001052
10,299.472,1.40656,1.13808,1.41844,0.59659,0.61952,0.62477,0.3159,1.64858,1.66301,1.63813,0.00102725,0.00102725,0.00102725
11,326.085,1.41087,1.15401,1.41876,0.67291,0.65245,0.69535,0.35457,1.67497,1.26919,1.66001,0.0010025,0.0010025,0.0010025
12,352.723,1.38856,1.13622,1.40997,0.6333,0.66515,0.69213,0.35973,1.62116,1.22659,1.61957,0.00097775,0.00097775,0.00097775
13,378.976,1.36731,1.06957,1.38902,0.71883,0.71782,0.72176,0.37381,1.65761,1.16249,1.68774,0.000953,0.000953,0.000953
14,404.701,1.36198,1.07041,1.38143,0.78889,0.72033,0.7866,0.41549,1.61724,1.11401,1.60554,0.00092825,0.00092825,0.00092825
15,431.263,1.34131,1.0386,1.35551,0.71328,0.60954,0.67583,0.35565,1.67651,1.31091,1.66565,0.0009035,0.0009035,0.0009035
16,457.689,1.31407,1.02393,1.36615,0.75194,0.71642,0.75487,0.40789,1.59045,1.11853,1.63141,0.00087875,0.00087875,0.00087875
17,484.014,1.31065,0.96809,1.33764,0.80661,0.78607,0.83833,0.43483,1.6208,1.0063,1.58216,0.000854,0.000854,0.000854
18,510.947,1.26264,0.9282,1.30827,0.77055,0.7166,0.7828,0.43041,1.5636,1.00794,1.6057,0.00082925,0.00082925,0.00082925
19,538.019,1.28938,0.93255,1.33008,0.77134,0.74748,0.7603,0.40174,1.65502,1.09026,1.65932,0.0008045,0.0008045,0.0008045
20,563.539,1.28461,0.94211,1.31989,0.76546,0.7319,0.78327,0.43348,1.57222,1.01348,1.56622,0.00077975,0.00077975,0.00077975
21,589.497,1.25041,0.92357,1.32248,0.80977,0.72515,0.79189,0.4321,1.57302,0.98188,1.59702,0.000755,0.000755,0.000755
22,616.159,1.2318,0.90903,1.30979,0.78261,0.70092,0.77998,0.39847,1.59489,1.12481,1.58963,0.00073025,0.00073025,0.00073025
23,643.405,1.24348,0.89884,1.29562,0.77839,0.70193,0.76947,0.42083,1.5407,1.05262,1.54584,0.0007055,0.0007055,0.0007055
24,671.062,1.24623,0.92399,1.31583,0.7445,0.73994,0.78717,0.44302,1.56286,1.09265,1.55803,0.00068075,0.00068075,0.00068075
25,699.033,1.22781,0.8614,1.28956,0.68129,0.76199,0.78666,0.43545,1.55433,0.9802,1.53785,0.000656,0.000656,0.000656
26,726.484,1.20128,0.83459,1.28461,0.81171,0.72571,0.81626,0.43251,1.62863,0.99062,1.60381,0.00063125,0.00063125,0.00063125
27,753.037,1.1988,0.82642,1.28165,0.78003,0.7795,0.83164,0.45639,1.60566,0.9534,1.5948,0.0006065,0.0006065,0.0006065
28,778.848,1.16199,0.80305,1.24358,0.78678,0.7011,0.76796,0.41287,1.57204,1.05225,1.55931,0.00058175,0.00058175,0.00058175
29,804.957,1.16459,0.81634,1.25077,0.7694,0.79668,0.82859,0.43694,1.58139,1.00069,1.5847,0.000557,0.000557,0.000557
30,831.375,1.14999,0.77926,1.2424,0.79902,0.75917,0.83187,0.45088,1.57582,0.91443,1.58872,0.00053225,0.00053225,0.00053225
31,857.59,1.14866,0.78024,1.23154,0.79502,0.69997,0.76055,0.40647,1.62673,0.99967,1.61437,0.0005075,0.0005075,0.0005075
32,882.885,1.13157,0.78007,1.23599,0.79474,0.69187,0.80263,0.44641,1.57575,0.99241,1.57082,0.00048275,0.00048275,0.00048275
33,909.662,1.11194,0.74656,1.22871,0.78985,0.74408,0.81339,0.46764,1.54002,0.89797,1.52077,0.000458,0.000458,0.000458
34,936.984,1.10139,0.73769,1.21291,0.78488,0.74312,0.80139,0.44807,1.56016,0.93174,1.54574,0.00043325,0.00043325,0.00043325
35,964.248,1.11732,0.73763,1.2308,0.80588,0.77841,0.83263,0.48151,1.55047,0.92195,1.54008,0.0004085,0.0004085,0.0004085
36,991.808,1.06257,0.7001,1.19748,0.78118,0.75164,0.80803,0.4594,1.53829,0.93687,1.52666,0.00038375,0.00038375,0.00038375
37,1019.43,1.06822,0.69873,1.1974,0.76542,0.78484,0.82788,0.46516,1.55081,0.91482,1.57962,0.000359,0.000359,0.000359
38,1045.73,1.05729,0.68858,1.18185,0.82571,0.75787,0.8247,0.46862,1.55629,0.89294,1.58846,0.00033425,0.00033425,0.00033425
39,1071.96,1.04646,0.69005,1.17768,0.8104,0.78878,0.8449,0.4726,1.5441,0.91867,1.55393,0.0003095,0.0003095,0.0003095
40,1097.95,1.0229,0.67249,1.17638,0.84699,0.78546,0.84751,0.47662,1.56024,0.915,1.58862,0.00028475,0.00028475,0.00028475
41,1127.41,1.00389,0.61204,1.16689,0.78889,0.79123,0.82153,0.47375,1.54219,0.92628,1.56424,0.00026,0.00026,0.00026
42,1152.98,0.96562,0.55048,1.14171,0.8287,0.78277,0.82875,0.46673,1.55531,0.93943,1.59392,0.00023525,0.00023525,0.00023525
43,1178.91,0.945,0.53158,1.1279,0.809,0.7903,0.8384,0.48531,1.53085,0.89077,1.57552,0.0002105,0.0002105,0.0002105
44,1205.08,0.92678,0.51939,1.11977,0.81485,0.78776,0.83194,0.47473,1.55395,0.92193,1.57692,0.00018575,0.00018575,0.00018575
45,1230.65,0.93125,0.52777,1.11818,0.81046,0.81286,0.84109,0.48755,1.51953,0.88806,1.55189,0.000161,0.000161,0.000161
46,1255.84,0.89504,0.4989,1.10332,0.80754,0.76534,0.82563,0.47164,1.54005,0.90294,1.603,0.00013625,0.00013625,0.00013625
47,1281.63,0.8775,0.49266,1.08269,0.78798,0.83353,0.84797,0.49027,1.548,0.88248,1.59905,0.0001115,0.0001115,0.0001115
48,1307.72,0.87693,0.47511,1.08305,0.86704,0.74927,0.84851,0.48344,1.55558,0.87164,1.61491,8.675e-05,8.675e-05,8.675e-05
49,1333.43,0.85769,0.47013,1.08468,0.81421,0.80949,0.84225,0.48428,1.53564,0.87999,1.59723,6.2e-05,6.2e-05,6.2e-05
50,1358.73,0.854,0.46985,1.07134,0.82389,0.79997,0.84445,0.48981,1.54741,0.87067,1.60311,3.725e-05,3.725e-05,3.725e-05
